Identifier,ProductCategory,ProductSubCategory,AnimalSpecies,AnimalSubSpecies,RiskfeedAnimalSubSpecies,AnimalSubSpeciesWeight,AnimalSubSpeciesConsumption,AnimalSubspeciesCompoundFeedIntake,Year,MinAnimalSubSpeciesCompoundFeedIntake,MaxAnimalSubSpeciesCompoundFeedIntake,,,
6.1.1.1.4,Diverse,Algae,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
6.1.1.1.5,Diverse,Algae,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
6.2.1.1.1,Diverse,Manioc,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
6.2.1.1.2,Diverse,Manioc,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
6.2.1.1.3,Diverse,Manioc,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
6.2.1.1.4,Diverse,Manioc,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
6.2.1.1.5,Diverse,Manioc,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
6.3.1.1.1,Diverse,Grass-/clover-/alfalfa meal,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
6.3.1.1.2,Diverse,Grass-/clover-/alfalfa meal,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
6.3.1.1.3,Diverse,Grass-/clover-/alfalfa meal,Pigs,Piglet,Big<25kg,20,1,0,2014,0,0,,,
6.3.1.1.4,Diverse,Grass-/clover-/alfalfa meal,Pigs,Piglet,Big<25kg,20,1,0,2013,0,0,,,
6.3.1.1.5,Diverse,Grass-/clover-/alfalfa meal,Pigs,Piglet,Big<25kg,20,1,0,2017,0,0,,,
6.4.1.1.1,Diverse,Dried beet pulp,Pigs,Piglet,Big<25kg,20,1,1,2016,1,1,,,
6.4.1.1.2,Diverse,Dried beet pulp,Pigs,Piglet,Big<25kg,20,1,1,2015,1,1,,,
6.4.1.1.3,Diverse,Dried beet pulp,Pigs,Piglet,Big<25kg,20,1,1,2014,1,1,,,
6.4.1.1.4,Diverse,Dried beet pulp,Pigs,Piglet,Big<25kg,20,1,1,2013,1,1,,,
6.4.1.1.5,Diverse,Dried beet pulp,Pigs,Piglet,Big<25kg,20,1,1,2017,1,1,,,
6.5.1.1.1,Diverse,Citrus pulp,Pigs,Piglet,Big<25kg,20,1,0,2016,0,0,,,
6.5.1.1.2,Diverse,Citrus pulp,Pigs,Piglet,Big<25kg,20,1,0,2015,0,0,,,
